0 +0 +0 +0 +2.931498e-08 -1.405845e-08
1 +0 +0 +0 +5.016410e-08 +1.485064e-09
2 +0 +0 +0 +2.246831e-08 -6.015698e-10
3 +0 +0 +0 +1.850663e-08 +1.507974e-10
4 +0 +0 +0 +7.805246e-09 -1.833211e-09
5 +0 +0 +0 +7.555595e-09 +7.901350e-10
6 +0 +0 +0 +6.413162e-09 +1.758688e-09
7 +0 +0 +0 +4.367410e-09 +1.948175e-09
8 +0 +0 +0 +2.458987e-09 +9.916301e-10
9 +0 +0 +0 +1.479937e-09 +1.387688e-10
10 +0 +0 +0 +1.088305e-09 -5.734082e-11
11 +0 +0 +0 +8.609763e-10 -4.551171e-11
12 +0 +0 +0 +6.072069e-10 -4.529171e-10
13 +0 +0 +0 +1.314988e-10 +2.357918e-10
14 +0 +0 +0 +6.387797e-11 +1.678413e-10
15 +0 +0 +0 -2.699168e-10 +6.345628e-10
16 +0 +0 +0 -2.967437e-10 +1.298794e-09
17 +0 +0 +0 +2.187007e-11 +1.180702e-09
18 +0 +0 +0 +3.310255e-10 +7.743931e-10
19 +0 +0 +0 +3.061095e-10 +8.483615e-10
20 +0 +0 +0 +1.866973e-10 +6.204733e-10
21 +0 +0 +0 +8.772477e-10 +5.927300e-10
22 +0 +0 +0 +5.194150e-10 +6.076646e-10
23 +0 +0 +0 +3.780668e-10 +1.212390e-09
24 +0 +0 +0 +1.569668e-09 -3.340009e-10
25 +0 +0 +0 +1.768764e-09 -1.804319e-09
26 +0 +0 +0 +4.270856e-09 -2.322257e-09
27 +0 +0 +0 +4.420722e-09 -1.338361e-09
28 +0 +0 +0 +5.194602e-09 +1.413375e-09
29 +0 +0 +0 +1.009112e-08 +2.567281e-09
30 +0 +0 +0 +1.662541e-08 +2.211889e-09
31 +0 +0 +0 +1.955269e-08 +1.509442e-09
